Race1_Beta	Race2_Beta	Sex_Beta	Age_Beta	Smoker_Beta	Insurace_Beta	Gestational_Beta	Z_Beta	Inflammation_Beta	Power_raceRace1	Power_raceRace2	Power_sex	Power_age	Power_smoke	Power_insurance	Power_gest	Power_zscore	Power_inflame
0.2	0.3	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.324	0.325	0.779	0.206	0.191	0.924	0.382	0.145	0.063
0.3	0.3	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.653624166666667	0.35311	0.805890000000001	0.25555	0.24294	0.928610000000001	0.43521	0.22158	0.0633
0.5	0.3	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.9307575	0.36539	0.83253	0.29598	0.26889	0.93254	0.44143	0.22437	0.06227
0.2	0.5	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.415117500000001	0.72771	0.83035	0.28507	0.26298	0.95562	0.43902	0.23838	0.06354
0.3	0.5	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.663334166666667	0.73901	0.82837	0.2884	0.26881	0.959879999999999	0.44694	0.2763	0.06264
0.5	0.5	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.9359775	0.73921	0.84522	0.31308	0.29167	0.962199999999999	0.47167	0.28525	0.06326
0.2	0.7	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.435380833333334	0.90942	0.863419999999999	0.30154	0.32033	0.963489999999999	0.44639	0.2845	0.06515
0.3	0.7	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.675614166666667	0.90279	0.87127	0.32227	0.33153	0.963069999999999	0.46316	0.29454	0.06483
0.5	0.7	0.3	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.93721	0.88872	0.88219	0.34026	0.35414	0.968219999999999	0.47413	0.3012	0.06584
0.2	0.3	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.40078	0.322355	0.9615	0.24347	0.22907	0.917340000000001	0.41615	0.18932	0.0621033333333333
0.3	0.3	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.635586666666667	0.32794	0.96349	0.24834	0.24785	0.919410000000001	0.43085	0.21393	0.0617433333333333
0.5	0.3	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.928389999999999	0.33787	0.97047	0.28965	0.26158	0.92545	0.43223	0.21662	0.0612033333333333
0.2	0.5	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.39845	0.72292	0.977514999999999	0.30346	0.2564	0.954279999999999	0.39604	0.21369	0.0615333333333334
0.3	0.5	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.640856666666667	0.72813	0.981774999999999	0.29914	0.2472	0.956869999999999	0.41738	0.23386	0.0604233333333333
0.5	0.5	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.93822	0.72707	0.984364999999999	0.33191	0.26565	0.960739999999999	0.43337	0.25531	0.0597833333333333
0.2	0.7	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.41994	0.908216666666666	0.98329	0.30493	0.26463	0.961149999999999	0.43153	0.2473	0.0628333333333333
0.3	0.7	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.646166666666667	0.90918	0.98526	0.32586	0.27118	0.960759999999999	0.42283	0.26063	0.0628733333333333
0.5	0.7	0.5	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.946479999999999	0.88991	0.98944	0.33618	0.29646	0.965709999999999	0.44502	0.26364	0.06295
0.2	0.3	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.38828	0.29235	0.97097	0.23367	0.24269	0.891990000000001	0.39551	0.181	0.0607733333333333
0.3	0.3	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.613666666666667	0.28802	0.9764	0.23705	0.25198	0.899000000000001	0.39807	0.19897	0.0604033333333333
0.5	0.3	0.7	-0.01	0.2	0.4	-0.01	-0.05	-0.03	0.933989999999999	0.29917	0.97818	0.25737	0.26092	0.90038	0.41334	0.20213	0.0590933333333333
